County,Heat,Wet Bulb,Farm Crop Yields,Sea Level Rise,Very Large Fires,Economic Damages,Total Risk Score
"Marshall County, IA",4,5,3,1,1,4,18
"Monona County, IA",4,2,4,1,1,5,17
"Montgomery County, IA",4,2,4,1,1,5,17
"Plymouth County, IA",4,2,4,1,1,5,17
"Ringgold County, IA",4,2,4,1,1,5,17
"Sac County, IA",4,4,3,1,1,5,18
"Sioux County, IA",4,4,4,1,1,4,18
"Tama County, IA",4,5,3,1,1,4,18
"Taylor County, IA",4,2,4,1,1,5,17
"Union County, IA",4,2,4,1,1,5,17
"Wright County, IA",4,5,3,1,1,4,18
"Buchanan County, IA",3,5,3,1,1,4,17
"Buena Vista County, IA",3,5,3,1,1,4,17
"Butler County, IA",3,5,3,1,1,4,17
"Cass County, IA",4,2,4,1,1,4,16
"Cherokee County, IA",4,4,3,1,1,4,17
"Clayton County, IA",4,4,3,1,1,4,17
"Delaware County, IA",3,5,3,1,1,4,17
"Hancock County, IA",3,5,3,1,1,4,17
"Jones County, IA",4,4,3,1,1,4,17
"Kossuth County, IA",3,5,3,1,1,4,17
"Linn County, IA",4,4,3,1,1,4,17
"Mitchell County, IA",3,5,3,1,1,4,17
"Poweshiek County, IA",4,4,3,1,1,4,17
"Winnebago County, IA",3,5,3,1,1,4,17
"Winneshiek County, IA",4,4,3,1,1,4,17
"Woodbury County, IA",4,2,4,1,1,4,16
"Chickasaw County, IA",3,4,3,1,1,4,16
"Dubuque County, IA",3,4,3,1,1,4,16
"Emmet County, IA",3,4,3,1,1,4,16
"Fayette County, IA",3,4,3,1,1,4,16
"Floyd County, IA",3,4,3,1,1,4,16
"Howard County, IA",3,4,3,1,1,4,16
"Lyon County, IA",4,2,3,1,1,4,15
"O'Brien County, IA",4,2,3,1,1,4,15
"Osceola County, IA",4,2,3,1,1,4,15
"Palo Alto County, IA",3,4,3,1,1,4,16
"Worth County, IA",3,4,3,1,1,4,16
"Allamakee County, IA",3,2,3,1,1,4,14
"Dickinson County, IA",4,1,3,1,1,4,14
"Owyhee County, ID",7,1,6,1,10,5,30
"Elmore County, ID",6,1,6,1,9,5,28
"Ada County, ID",6,2,6,1,7,5,27
"Gooding County, ID",4,1,6,1,6,5,23
"Twin Falls County, ID",4,1,5,1,7,4,22
"Cassia County, ID",4,1,4,1,7,4,21
"Lincoln County, ID",4,1,4,1,6,5,21
"Custer County, ID",3,1,4,1,7,4,20
"Camas County, ID",4,1,3,1,6,4,19
"Canyon County, ID",6,1,7,1,1,5,21
"Franklin County, ID",6,1,3,1,6,4,21
"Idaho County, ID",4,1,1,1,9,4,20
"Minidoka County, ID",4,1,4,1,6,4,20
"Payette County, ID",6,1,7,1,1,5,21
"Adams County, ID",3,1,3,1,6,4,18
"Bingham County, ID",4,1,3,1,6,4,19
"Gem County, ID",6,1,6,1,1,5,20
"Washington County, ID",7,1,5,1,1,5,20
"Blaine County, ID",4,1,1,1,7,4,18
"Boise County, ID",4,1,1,1,7,4,18
"Bonneville County, ID",3,1,3,1,6,4,18
"Butte County, ID",4,1,1,1,7,4,18
"Clearwater County, ID",6,1,1,1,6,4,19
"Jerome County, ID",6,1,5,1,1,5,19
"Lemhi County, ID",4,1,1,1,7,4,18
"Shoshone County, ID",4,1,1,1,6,4,17
"Valley County, ID",3,1,1,1,7,4,17
"Bonner County, ID",4,1,1,1,6,4,17
"Clark County, ID",3,1,1,1,6,4,16
"Kootenai County, ID",4,1,1,1,6,4,17
"Nez Perce County, ID",3,1,1,1,6,5,17
"Bear Lake County, ID",3,1,1,1,6,4,16
"Boundary County, ID",4,1,1,1,4,4,15
"Jefferson County, ID",4,1,3,1,1,4,14
"Oneida County, ID",4,1,3,1,1,4,14
"Power County, ID",4,1,3,1,1,4,14
"Fremont County, ID",3,1,1,1,3,4,13
"Teton County, ID",3,1,1,1,3,4,13
"Bannock County, ID",4,1,1,1,1,4,12
"Benewah County, ID",4,1,1,1,1,4,12
"Caribou County, ID",4,1,1,1,1,4,12
"Latah County, ID",4,1,1,1,1,4,12
"Lewis County, ID",3,1,1,1,1,4,11
"Madison County, ID",3,1,1,1,1,4,11
"Alexander County, IL",6,7,8,1,1,5,28
"Pulaski County, IL",6,7,8,1,1,5,28
"Gallatin County, IL",6,9,7,1,1,5,29
"Hardin County, IL",6,7,8,1,1,4,27
"Pope County, IL",6,7,8,1,1,5,28
"Union County, IL",6,7,8,1,1,5,28
"Jackson County, IL",6,7,7,1,1,5,27
"Johnson County, IL",6,6,8,1,1,5,27
"Massac County, IL",4,7,8,1,1,5,26
"St. Clair County, IL",7,6,7,1,1,5,27
"Saline County, IL",6,7,7,1,1,5,27
"White County, IL",6,9,6,1,1,5,28
"Madison County, IL",7,6,6,1,1,5,26
"Randolph County, IL",6,6,7,1,1,5,26
"Williamson County, IL",6,6,7,1,1,5,26
"Crawford County, IL",6,7,5,1,1,5,25
"Edwards County, IL",6,6,6,1,1,5,25
"Franklin County, IL",6,6,6,1,1,5,25
"Hamilton County, IL",6,6,6,1,1,5,25
"Lawrence County, IL",6,7,5,1,1,5,25
"Macon County, IL",6,7,5,1,1,5,25
"Monroe County, IL",6,5,7,1,1,5,25
"Montgomery County, IL",6,7,5,1,1,5,25
"Perry County, IL",6,6,6,1,1,5,25
"Bond County, IL",6,6,5,1,1,5,24
"Calhoun County, IL",6,4,7,1,1,5,24
"Clinton County, IL",4,6,6,1,1,5,23
"De Witt County, IL",6,7,4,1,1,5,24
"Pike County, IL",6,5,6,1,1,5,24
"Wabash County, IL",4,7,5,1,1,5,23
"Wayne County, IL",6,6,5,1,1,5,24
"Christian County, IL",4,6,5,1,1,5,22
"Clay County, IL",4,6,5,1,1,5,22
"Edgar County, IL",4,7,4,1,1,5,22
"Effingham County, IL",4,6,5,1,1,5,22
"Fayette County, IL",4,6,5,1,1,5,22
"Greene County, IL",4,5,6,1,1,5,22
"Jasper County, IL",4,6,5,1,1,5,22
"Logan County, IL",4,7,4,1,1,5,22
"Marion County, IL",4,6,5,1,1,5,22
"Marshall County, IL",4,7,4,1,1,5,22
"Piatt County, IL",4,7,4,1,1,5,22
"Putnam County, IL",4,7,4,1,1,5,22
"Richland County, IL",4,6,5,1,1,5,22
"Sangamon County, IL",4,6,5,1,1,5,22
"Washington County, IL",4,6,5,1,1,5,22
"Adams County, IL",4,5,5,1,1,5,21
"Brown County, IL",4,5,5,1,1,5,21
"Cass County, IL",4,5,5,1,1,5,21
"Champaign County, IL",4,6,4,1,1,5,21
"Clark County, IL",4,6,4,1,1,5,21
"Coles County, IL",4,6,4,1,1,5,21
"Cumberland County, IL",4,6,4,1,1,5,21
"Douglas County, IL",4,6,4,1,1,5,21
"Hancock County, IL",4,5,5,1,1,5,21
"Henderson County, IL",4,5,5,1,1,5,21
"Jefferson County, IL",4,5,5,1,1,5,21
"Jersey County, IL",4,4,6,1,1,5,21
"Kankakee County, IL",4,7,4,1,1,4,21
"Kendall County, IL",4,7,4,1,1,4,21
"Macoupin County, IL",4,5,5,1,1,5,21
"Mason County, IL",4,5,5,1,1,5,21
"Menard County, IL",4,6,4,1,1,5,21
"Morgan County, IL",4,5,5,1,1,5,21
"Moultrie County, IL",4,6,4,1,1,5,21
"Peoria County, IL",4,6,4,1,1,5,21
"Shelby County, IL",4,6,4,1,1,5,21
"Tazewell County, IL",4,6,4,1,1,5,21
"Vermilion County, IL",4,6,4,1,1,5,21
"Woodford County, IL",4,6,4,1,1,5,21
"Carroll County, IL",4,6,4,1,1,4,20
"Cook County, IL",4,7,3,1,1,4,20
"Ford County, IL",4,5,4,1,1,5,20
"Grundy County, IL",4,6,4,1,1,4,20
"Iroquois County, IL",4,6,4,1,1,4,20
"LaSalle County, IL",4,6,4,1,1,4,20
"Livingston County, IL",4,6,4,1,1,4,20
"McLean County, IL",4,5,4,1,1,5,20
"Schuyler County, IL",4,4,5,1,1,5,20
"Scott County, IL",4,4,5,1,1,5,20
"Stark County, IL",4,5,4,1,1,5,20
"Warren County, IL",4,5,4,1,1,5,20
"Whiteside County, IL",4,6,4,1,1,4,20
"Will County, IL",4,7,3,1,1,4,20
"Boone County, IL",4,5,4,1,1,4,19
"Bureau County, IL",4,5,4,1,1,4,19
"DeKalb County, IL",4,5,4,1,1,4,19
"Fulton County, IL",4,4,4,1,1,5,19
"Henry County, IL",4,5,4,1,1,4,19
"Knox County, IL",4,5,4,1,1,4,19
"McHenry County, IL",4,5,4,1,1,4,19
"Mercer County, IL",4,4,4,1,1,5,19
"Rock Island County, IL",4,5,4,1,1,4,19
"Kane County, IL",4,5,3,1,1,4,18
"Lake County, IL",4,5,3,1,1,4,18
"McDonough County, IL",4,4,4,1,1,4,18
"Stephenson County, IL",4,5,3,1,1,4,18
"Winnebago County, IL",4,5,3,1,1,4,18
"DuPage County, IL",3,5,3,1,1,4,17
"Ogle County, IL",3,5,3,1,1,4,17
"Jo Daviess County, IL",3,4,3,1,1,4,16
"Lee County, IL",3,4,3,1,1,4,16
"Harrison County, IN",6,9,5,1,1,5,27
"Perry County, IN",6,9,5,1,1,5,27
"Posey County, IN",6,7,6,1,1,5,26
"Spencer County, IN",6,7,6,1,1,5,26
"Vanderburgh County, IN",6,7,6,1,1,5,26
"Warrick County, IN",6,7,6,1,1,5,26
"Floyd County, IN",6,9,4,1,1,5,26
"Gibson County, IN",6,7,5,1,1,5,25
"Knox County, IN",6,7,5,1,1,5,25
"Pike County, IN",6,7,5,1,1,5,25
"Clark County, IN",6,7,4,1,1,5,24
"Ohio County, IN",4,6,4,1,1,6,22
"Crawford County, IN",4,5,5,1,1,6,22
"Daviess County, IN",4,6,5,1,1,5,22
"Dubois County, IN",4,6,5,1,1,5,22
"Fountain County, IN",4,7,4,1,1,5,22
"Jefferson County, IN",6,7,3,1,1,5,23
"Martin County, IN",4,6,5,1,1,5,22
"Sullivan County, IN",4,6,5,1,1,5,22
"Switzerland County, IN",6,7,3,1,1,5,23
"Vigo County, IN",4,7,4,1,1,5,22
"Warren County, IN",4,7,4,1,1,5,22
"Brown County, IN",4,5,3,1,1,6,20
"Greene County, IN",4,5,4,1,1,6,21
"Jasper County, IN",4,7,3,1,1,5,21
"Monroe County, IN",4,7,3,1,1,5,21
"Orange County, IN",4,6,4,1,1,5,21
"Vermillion County, IN",4,6,4,1,1,5,21
"Washington County, IN",4,6,4,1,1,5,21
"Bartholomew County, IN",4,5,4,1,1,5,20
"Benton County, IN",4,6,3,1,1,5,20
"Clay County, IN",4,5,4,1,1,5,20
"Dearborn County, IN",4,6,3,1,1,5,20
"Decatur County, IN",4,6,3,1,1,5,20
"Fayette County, IN",4,6,3,1,1,5,20
"Hendricks County, IN",4,6,3,1,1,5,20
"Jackson County, IN",4,5,4,1,1,5,20
"Lake County, IN",4,6,3,1,1,5,20
"Lawrence County, IN",4,5,4,1,1,5,20
"Montgomery County, IN",4,6,3,1,1,5,20
"Morgan County, IN",4,5,4,1,1,5,20
"Newton County, IN",4,6,3,1,1,5,20
"Owen County, IN",4,5,4,1,1,5,20
"Parke County, IN",4,5,4,1,1,5,20
"Porter County, IN",4,6,3,1,1,5,20
"Ripley County, IN",4,6,3,1,1,5,20
"Tippecanoe County, IN",4,6,3,1,1,5,20
"Adams County, IN",4,5,3,1,1,5,19
"Boone County, IN",4,5,3,1,1,5,19
"Carroll County, IN",4,5,3,1,1,5,19
"Cass County, IN",4,5,3,1,1,5,19
"Clinton County, IN",4,5,3,1,1,5,19
"Franklin County, IN",4,5,3,1,1,5,19
"Grant County, IN",4,5,3,1,1,5,19
"Hamilton County, IN",4,5,3,1,1,5,19
"Hancock County, IN",4,5,3,1,1,5,19
"Howard County, IN",4,5,3,1,1,5,19
"Huntington County, IN",4,5,3,1,1,5,19
"Jennings County, IN",4,5,3,1,1,5,19
"Johnson County, IN",4,5,3,1,1,5,19
"LaPorte County, IN",3,6,3,1,1,5,19
"Madison County, IN",4,5,3,1,1,5,19
"Marion County, IN",4,5,3,1,1,5,19
"Miami County, IN",4,5,3,1,1,5,19
"Putnam County, IN",4,4,4,1,1,5,19
"Rush County, IN",4,5,3,1,1,5,19
"Scott County, IN",4,5,3,1,1,5,19
"Shelby County, IN",4,5,3,1,1,5,19
"Starke County, IN",3,6,3,1,1,5,19
"Tipton County, IN",4,5,3,1,1,5,19
"Union County, IN",4,5,3,1,1,5,19
"Wabash County, IN",4,5,3,1,1,5,19
"Wells County, IN",4,5,3,1,1,5,19
"White County, IN",4,5,3,1,1,5,19
"Allen County, IN",4,4,3,1,1,5,18
"Blackford County, IN",4,4,3,1,1,5,18
"Delaware County, IN",4,4,3,1,1,5,18
"Elkhart County, IN",3,5,3,1,1,5,18
"Fulton County, IN",3,5,3,1,1,5,18
"Jay County, IN",4,4,3,1,1,5,18
"LaGrange County, IN",4,4,3,1,1,5,18
"Marshall County, IN",3,5,3,1,1,5,18
"Pulaski County, IN",3,5,3,1,1,5,18
"St. Joseph County, IN",3,5,3,1,1,5,18
"DeKalb County, IN",3,4,3,1,1,5,17
"Kosciusko County, IN",3,4,3,1,1,5,17
"Noble County, IN",3,4,3,1,1,5,17
"Steuben County, IN",3,4,3,1,1,5,17
"Wayne County, IN",4,2,3,1,1,5,16
"Whitley County, IN",3,4,3,1,1,5,17
"Henry County, IN",3,2,3,1,1,5,15
"Randolph County, IN",3,2,3,1,1,5,15
"Barber County, KS",9,4,9,1,1,5,29
"Clark County, KS",9,2,8,1,2,5,27
"Comanche County, KS",7,4,9,1,1,5,27
"Barton County, KS",7,4,8,1,1,5,26
"Bourbon County, KS",6,4,8,1,2,5,26
"Chautauqua County, KS",7,2,8,1,2,5,25
"Dickinson County, KS",7,4,8,1,1,5,26
"Ellis County, KS",7,2,8,1,2,5,25
"Graham County, KS",7,2,8,1,2,5,25
"Greenwood County, KS",6,2,8,1,3,5,25
"Harper County, KS",7,2,9,1,1,5,25
"Hodgeman County, KS",7,2,8,1,2,5,25
"Kiowa County, KS",7,4,8,1,1,5,26
"Lyon County, KS",6,2,8,1,3,5,25
"Ness County, KS",7,2,8,1,2,5,25
"Osborne County, KS",7,2,8,1,2,5,25
"Ottawa County, KS",7,4,8,1,1,5,26
"Pawnee County, KS",7,4,8,1,1,5,26
"Phillips County, KS",7,2,8,1,2,5,25
"Rooks County, KS",7,2,8,1,2,5,25
"Rush County, KS",7,2,8,1,2,5,25
"Saline County, KS",7,4,8,1,1,5,26
"Sedgwick County, KS",7,4,8,1,1,5,26
"Stafford County, KS",7,4,8,1,1,5,26
"Trego County, KS",7,2,8,1,2,5,25
"Wyandotte County, KS",6,4,8,1,2,5,26
"Anderson County, KS",6,4,8,1,1,5,25
"Chase County, KS",6,2,8,1,2,5,24
"Coffey County, KS",6,2,8,1,2,5,24
"Crawford County, KS",6,4,8,1,1,5,25
"Elk County, KS",6,2,8,1,2,5,24
"Ford County, KS",7,2,8,1,2,5,25
"Geary County, KS",6,2,8,1,2,5,24
"Kingman County, KS",7,2,8,1,1,5,24
"Lincoln County, KS",7,2,8,1,1,5,24
"Linn County, KS",6,2,8,1,2,5,24
"Miami County, KS",6,2,8,1,2,5,24
"Mitchell County, KS",7,2,8,1,1,5,24
"Montgomery County, KS",6,2,8,1,2,5,24
"Morris County, KS",6,2,8,1,2,5,24
"Norton County, KS",7,2,8,1,2,5,25
"Osage County, KS",6,2,8,1,2,6,25
"Pottawatomie County, KS",6,2,8,1,2,5,24
"Pratt County, KS",7,4,8,1,1,5,26
"Reno County, KS",7,2,8,1,1,5,24
"Rice County, KS",7,2,8,1,1,5,24
"Russell County, KS",7,2,8,1,1,5,24
"Smith County, KS",7,2,8,1,1,5,24
"Sumner County, KS",7,2,8,1,1,5,24
"Wabaunsee County, KS",6,2,8,1,2,5,24
"Wilson County, KS",6,2,8,1,2,5,24
"Woodson County, KS",6,2,8,1,2,5,24
"Allen County, KS",6,2,8,1,1,5,23
"Butler County, KS",6,2,8,1,1,5,23
"Cherokee County, KS",6,2,8,1,1,5,23
"Clay County, KS",6,2,8,1,1,5,23
"Cloud County, KS",6,2,8,1,1,5,23
"Cowley County, KS",6,2,8,1,1,5,23
"Douglas County, KS",6,2,8,1,1,5,23
"Edwards County, KS",7,4,7,1,1,5,25
"Ellsworth County, KS",6,2,8,1,1,5,23
"Grant County, KS",7,2,8,1,1,5,24
"Hamilton County, KS",7,2,7,1,2,5,24
"Labette County, KS",6,2,8,1,1,5,23
"McPherson County, KS",6,2,8,1,1,5,23
"Marion County, KS",6,2,8,1,1,5,23
"Meade County, KS",7,2,7,1,2,5,24
"Morton County, KS",7,2,8,1,1,5,24
"Neosho County, KS",6,2,8,1,1,5,23
"Riley County, KS",6,2,8,1,1,5,23
"Scott County, KS",7,2,8,1,1,5,24
"Seward County, KS",7,2,8,1,1,5,24
"Stanton County, KS",7,2,8,1,1,5,24
"Finney County, KS",7,2,7,1,1,5,23
"Franklin County, KS",6,2,8,1,1,5,23
"Gove County, KS",6,2,7,1,2,5,23
"Gray County, KS",7,2,7,1,1,5,23
"Greeley County, KS",7,2,6,1,2,5,23
"Harvey County, KS",6,2,8,1,1,5,23
"Haskell County, KS",7,2,7,1,1,5,23
"Jackson County, KS",6,2,8,1,1,5,23
"Jefferson County, KS",4,2,8,1,1,6,22
"Jewell County, KS",6,2,8,1,1,5,23
"Johnson County, KS",4,2,8,1,2,5,22
"Kearny County, KS",7,2,7,1,1,5,23
"Lane County, KS",7,2,7,1,1,5,23
"Leavenworth County, KS",4,2,8,1,1,5,21
"Logan County, KS",6,2,7,1,2,5,23
"Marshall County, KS",6,2,8,1,1,5,23
"Republic County, KS",6,2,8,1,1,5,23
"Shawnee County, KS",6,2,8,1,1,5,23
"Stevens County, KS",7,2,7,1,1,5,23
"Washington County, KS",6,2,8,1,1,5,23
"Wichita County, KS",7,2,7,1,1,5,23
"Decatur County, KS",6,2,6,1,2,5,22
"Nemaha County, KS",6,2,7,1,1,5,22
"Rawlins County, KS",7,2,5,1,2,5,22
"Thomas County, KS",7,2,5,1,2,5,22
"Wallace County, KS",6,2,6,1,2,5,22
"Atchison County, KS",4,2,7,1,1,5,20
"Brown County, KS",6,2,6,1,1,5,21
"Cheyenne County, KS",7,2,5,1,1,5,21
"Sheridan County, KS",6,2,5,1,2,5,21
"Doniphan County, KS",4,2,6,1,1,5,19
"Sherman County, KS",6,1,5,1,2,5,20
"Ballard County, KY",6,7,8,1,1,5,28
"McCracken County, KY",6,7,8,1,1,5,28
"Carlisle County, KY",6,7,8,1,1,5,28
"Fulton County, KY",6,6,8,1,1,5,27
"Graves County, KY",6,7,8,1,1,5,28
"Livingston County, KY",6,7,8,1,1,5,28
"Marshall County, KY",6,7,8,1,1,5,28
"Christian County, KY",6,7,7,1,1,5,27
"Crittenden County, KY",6,7,7,1,1,5,27
"Hickman County, KY",6,6,8,1,1,5,27
"Lyon County, KY",6,7,7,1,1,5,27
"McLean County, KY",6,7,7,1,1,5,27
"Muhlenberg County, KY",6,7,7,1,1,5,27
"Todd County, KY",6,7,7,1,1,5,27
"Trigg County, KY",6,7,7,1,1,5,27
"Webster County, KY",6,7,7,1,1,5,27
"Butler County, KY",6,7,6,1,1,5,26
"Caldwell County, KY",6,7,6,1,1,5,26
"Calloway County, KY",6,6,7,1,1,5,26
"Daviess County, KY",6,7,6,1,1,5,26
"Hancock County, KY",6,9,5,1,1,5,27
"Henderson County, KY",6,7,6,1,1,5,26
"Ohio County, KY",6,6,7,1,1,5,26
"Union County, KY",6,7,6,1,1,5,26
"Warren County, KY",6,7,6,1,1,5,26
"Barren County, KY",7,7,4,1,1,5,25
"Bullitt County, KY",6,9,4,1,1,5,26
"Edmonson County, KY",7,7,4,1,1,5,25
"Elliott County, KY",6,6,5,1,2,5,25
"Hopkins County, KY",6,5,7,1,1,5,25
"Jefferson County, KY",6,9,4,1,1,5,26
"Logan County, KY",6,6,6,1,1,5,25
"Simpson County, KY",6,6,5,1,1,5,24
"Spencer County, KY",6,9,3,1,1,5,25
"Adair County, KY",6,6,4,1,1,5,23
"Breckinridge County, KY",6,6,4,1,1,5,23
"Carroll County, KY",6,7,3,1,1,5,23
"Green County, KY",6,6,4,1,1,5,23
"Meade County, KY",6,6,4,1,1,5,23
"Menifee County, KY",6,6,3,1,2,5,23
"Metcalfe County, KY",6,6,4,1,1,5,23
"Monroe County, KY",6,6,4,1,1,5,23
"Montgomery County, KY",6,5,4,1,2,5,23
"Powell County, KY",6,6,3,1,2,5,23
"Rowan County, KY",6,6,3,1,2,5,23
"Shelby County, KY",6,7,3,1,1,5,23
"Taylor County, KY",6,6,4,1,1,5,23
"Bath County, KY",6,5,3,1,2,5,22
"Henry County, KY",6,6,3,1,1,5,22
"Kenton County, KY",4,5,5,1,1,5,21
"Marion County, KY",6,5,4,1,1,5,22
"Nelson County, KY",4,5,5,1,1,5,21
"Oldham County, KY",6,6,3,1,1,5,22
"Trimble County, KY",6,6,3,1,1,5,22
"Washington County, KY",6,5,4,1,1,5,22
"Allen County, KY",4,4,5,1,1,5,20
"Anderson County, KY",4,5,4,1,1,5,20
"Boyle County, KY",6,5,3,1,1,5,21
"Campbell County, KY",4,5,4,1,1,5,20
"Casey County, KY",6,5,3,1,1,5,21
"Clay County, KY",4,4,4,1,2,5,20
"Fleming County, KY",6,5,3,1,1,5,21
"Franklin County, KY",4,5,4,1,1,5,20
"Gallatin County, KY",4,6,3,1,1,5,20
"Hardin County, KY",4,5,4,1,1,5,20
"Hart County, KY",4,5,4,1,1,5,20
"Jackson County, KY",4,4,4,1,2,5,20
"Larue County, KY",4,5,4,1,1,5,20
"Laurel County, KY",4,4,4,1,2,5,20
"Lewis County, KY",6,5,3,1,1,5,21
"Madison County, KY",4,4,4,1,2,5,20
"Mercer County, KY",4,5,4,1,1,5,20
"Pulaski County, KY",4,5,3,1,2,5,20
"Rockcastle County, KY",4,4,4,1,2,5,20
"Whitley County, KY",4,2,5,1,2,5,19
"Boone County, KY",4,5,3,1,1,5,19
"Carter County, KY",3,4,4,1,2,5,19
"Clark County, KY",4,5,3,1,1,5,19
"Cumberland County, KY",4,4,4,1,1,5,19
"Estill County, KY",4,4,3,1,2,5,19
"Fayette County, KY",4,5,3,1,1,5,19
"Floyd County, KY",3,4,4,1,2,5,19
"Garrard County, KY",4,4,4,1,1,5,19
"Grant County, KY",4,5,3,1,1,5,19
"Grayson County, KY",4,4,4,1,1,5,19
"Greenup County, KY",4,4,3,1,2,5,19
"Harrison County, KY",4,4,4,1,1,5,19
"Jessamine County, KY",4,5,3,1,1,5,19
"Johnson County, KY",3,4,4,1,2,5,19
"Knox County, KY",4,4,3,1,2,5,19
"Lawrence County, KY",4,4,3,1,2,5,19
"Nicholas County, KY",4,4,4,1,1,5,19
"Owen County, KY",4,5,3,1,1,5,19
"Owsley County, KY",3,4,4,1,2,5,19
"Pendleton County, KY",4,5,3,1,1,5,19
"Robertson County, KY",4,4,4,1,1,5,19
"Russell County, KY",4,4,3,1,2,5,19
"Scott County, KY",4,5,3,1,1,5,19
"Wayne County, KY",4,4,3,1,2,5,19
"Wolfe County, KY",3,4,4,1,2,5,19
"Woodford County, KY",4,5,3,1,1,5,19
"Bourbon County, KY",4,4,3,1,1,5,18
"Bracken County, KY",4,4,3,1,1,5,18
"Breathitt County, KY",3,2,4,1,2,5,17
"Clinton County, KY",4,4,3,1,1,5,18
"Lee County, KY",3,4,3,1,2,5,18
"Lincoln County, KY",4,4,3,1,1,5,18
"McCreary County, KY",4,2,3,1,2,5,17
"Magoffin County, KY",3,2,4,1,2,5,17
"Mason County, KY",4,5,3,1,1,4,18
"Morgan County, KY",3,4,3,1,2,5,18
"Perry County, KY",3,2,4,1,2,5,17
"Bell County, KY",4,2,3,1,2,4,16
"Boyd County, KY",3,4,3,1,2,4,17
"Leslie County, KY",4,4,1,1,2,5,17
"Pike County, KY",3,1,3,1,2,5,15
"Martin County, KY",4,4,1,1,2,4,16
"Harlan County, KY",4,1,1,1,2,5,14
"Knott County, KY",3,2,1,1,2,5,14
"Letcher County, KY",3,1,1,1,2,4,12
"St. Martin Parish, LA",7,10,8,4,3,7,39
"Assumption Parish, LA",6,9,7,7,2,9,40
"Jefferson Davis Parish, LA",7,10,8,4,1,8,38
"Livingston Parish, LA",7,9,8,6,1,8,39
"St. John the Baptist Parish, LA",6,9,8,6,2,8,39
"Calcasieu Parish, LA",6,10,8,4,1,8,37
"Lafayette Parish, LA",7,10,8,3,2,7,37
"St. James Parish, LA",6,10,8,6,2,6,38
"St. Landry Parish, LA",7,9,8,3,3,7,37
"Beauregard Parish, LA",7,10,9,1,1,7,35
"Lafourche Parish, LA",4,9,8,6,2,7,36
"East Baton Rouge Parish, LA",7,10,9,3,2,5,36
"Iberville Parish, LA",7,9,8,4,2,6,36
"Pointe Coupee Parish, LA",7,10,8,1,3,6,35
"Tangipahoa Parish, LA",7,7,8,4,1,7,34
"Acadia Parish, LA",6,7,8,4,1,7,33
"Ascension Parish, LA",6,9,8,4,2,6,35
"Cameron Parish, LA",6,10,3,10,1,8,38
"Evangeline Parish, LA",7,7,8,1,1,7,31
"West Baton Rouge Parish, LA",7,10,8,1,2,5,33
"Allen Parish, LA",7,6,8,1,1,7,30
"St. Mary Parish, LA",4,9,3,7,2,8,33
"Vermilion Parish, LA",6,9,3,6,1,9,34
"Iberia Parish, LA",6,9,3,4,2,8,32
"Vernon Parish, LA",7,4,10,1,1,6,29
"Avoyelles Parish, LA",7,4,8,1,3,6,29
"East Feliciana Parish, LA",6,5,8,1,1,7,28
"Rapides Parish, LA",7,7,8,1,1,5,29
"Terrebonne Parish, LA",4,9,1,7,3,8,32
"Bossier Parish, LA",9,4,9,1,1,5,29
"De Soto Parish, LA",9,4,9,1,1,5,29
"Ouachita Parish, LA",9,5,8,1,1,5,29
"Washington Parish, LA",7,6,8,1,1,6,29
"Bienville Parish, LA",7,2,10,1,1,5,26
"Caddo Parish, LA",9,4,8,1,1,5,28
"Caldwell Parish, LA",9,2,9,1,1,5,27
"Natchitoches Parish, LA",9,4,8,1,1,5,28
"Union Parish, LA",7,4,9,1,1,5,27
"West Feliciana Parish, LA",7,2,9,1,1,6,26
"Catahoula Parish, LA",9,2,8,1,1,6,27
"Claiborne Parish, LA",7,2,9,1,1,5,25
"Grant Parish, LA",7,2,9,1,1,5,25
"Lincoln Parish, LA",7,2,9,1,1,5,25
"Richland Parish, LA",9,4,8,1,1,5,28
"St. Bernard Parish, LA",4,6,1,7,2,8,28
"St. Charles Parish, LA",6,10,1,7,2,5,31
"Franklin Parish, LA",9,2,8,1,1,5,26
"Jefferson Parish, LA",6,7,1,4,2,7,27
"LaSalle Parish, LA",7,2,8,1,1,5,24
"Red River Parish, LA",7,2,8,1,1,5,24
"Tensas Parish, LA",9,2,7,1,1,6,26
"East Carroll Parish, LA",7,5,6,1,1,5,25
"Madison Parish, LA",7,4,7,1,1,5,25
"Orleans Parish, LA",6,7,1,4,2,6,26
"West Carroll Parish, LA",7,4,7,1,1,5,25
"Concordia Parish, LA",7,2,7,1,1,5,23
"Morehouse Parish, LA",7,2,7,1,1,5,23
"St. Helena Parish, LA",7,6,1,1,1,8,24
"St. Tammany Parish, LA",6,5,1,4,2,7,25
"Plaquemines Parish, LA",6,7,1,6,1,5,26
"Sabine Parish, LA",9,4,1,1,1,5,21
"Winn Parish, LA",9,4,1,1,1,5,21
"Webster Parish, LA",7,4,1,1,1,5,19
"Jackson Parish, LA",7,2,1,1,1,5,17
"Suffolk County, MA",3,4,1,6,1,5,20
"Barnstable County, MA",3,2,1,7,1,4,18
"Dukes County, MA",3,4,1,4,1,5,18
"Essex County, MA",3,5,1,4,1,4,18
"Nantucket County, MA",3,2,1,4,1,6,17
"Hampden County, MA",4,5,1,1,1,4,16
"Middlesex County, MA",3,4,1,4,1,4,17
